reaction,judgement_time,Mean,SD,Mean_M,SD_M,lambda,k,D50_probit,D50_probit_M,D50_weibull,Diff_M,Rate_M,Diff_Weibull,Rate_Weibull
Toxic,180,4.451,0.355,4.495,0.489,4.531,17.641,85.692,89.609,84.571,3.917,1.046,1.121,1.013
Toxic,190,4.333,0.316,4.355,0.419,4.394,20.454,76.169,77.854,74.885,1.685,1.022,1.284,1.017
Toxic,200,4.221,0.277,4.225,0.349,4.301,20.919,68.113,68.391,68.494,0.279,1.004,-0.382,0.994
Toxic,210,4.163,0.266,4.157,0.325,4.258,19.345,64.248,63.85,65.22,-0.398,0.994,-0.973,0.985
Toxic,220,4.127,0.287,4.122,0.351,4.226,18.735,62.015,61.711,63.046,-0.304,0.995,-1.031,0.984
Toxic,230,4.095,0.277,4.092,0.341,4.196,17.503,60.017,59.84,60.877,-0.177,0.997,-0.861,0.986
Toxic,240,4.07,0.277,4.068,0.341,4.175,16.516,58.532,58.426,59.327,-0.106,0.998,-0.795,0.987
Toxic,250,4.057,0.295,4.055,0.363,4.169,15.207,57.776,57.708,58.562,-0.068,0.999,-0.787,0.987
Toxic,260,4.048,0.294,4.047,0.362,4.16,15.006,57.295,57.248,57.978,-0.046,0.999,-0.683,0.988
Toxic,270,4.026,0.289,4.025,0.356,4.136,15.024,56.058,55.975,56.619,-0.083,0.999,-0.56,0.99
Toxic,280,3.998,0.29,3.995,0.357,4.106,14.662,54.477,54.313,54.863,-0.164,0.997,-0.386,0.993
Toxic,290,3.986,0.285,3.982,0.351,4.088,14.842,53.815,53.608,53.981,-0.206,0.996,-0.167,0.997
Toxic,300,3.96,0.277,3.957,0.341,4.061,15.129,52.472,52.279,52.651,-0.194,0.996,-0.178,0.997
Toxic,310,3.953,0.278,3.949,0.343,4.052,14.907,52.085,51.903,52.11,-0.182,0.997,-0.025,1
Toxic,320,3.949,0.283,3.946,0.348,4.05,14.615,51.884,51.709,51.917,-0.174,0.997,-0.034,0.999
Toxic,330,3.941,0.288,3.938,0.354,4.043,14.249,51.487,51.328,51.445,-0.159,0.997,0.042,1.001
Toxic,340,3.941,0.288,3.938,0.354,4.043,14.249,51.487,51.328,51.445,-0.159,0.997,0.042,1.001
Toxic,350,3.941,0.288,3.938,0.354,4.043,14.249,51.487,51.328,51.445,-0.159,0.997,0.042,1.001
Toxic,360,3.934,0.293,3.931,0.36,4.036,13.913,51.088,50.946,50.965,-0.141,0.997,0.123,1.002
Toxic,370,3.926,0.294,3.923,0.361,4.026,13.918,50.679,50.561,50.484,-0.118,0.998,0.195,1.004
Toxic,380,3.926,0.294,3.923,0.361,4.026,13.918,50.679,50.561,50.484,-0.118,0.998,0.195,1.004
Toxic,390,3.926,0.294,3.923,0.361,4.026,13.918,50.679,50.561,50.484,-0.118,0.998,0.195,1.004
Toxic,400,3.926,0.294,3.923,0.361,4.026,13.918,50.679,50.561,50.484,-0.118,0.998,0.195,1.004
Toxic,410,3.921,0.304,3.919,0.372,4.026,13.618,50.438,50.344,50.349,-0.094,0.998,0.089,1.002
Toxic,420,3.921,0.304,3.919,0.372,4.026,13.618,50.438,50.344,50.349,-0.094,0.998,0.089,1.002
Toxic,430,3.921,0.304,3.919,0.372,4.026,13.618,50.438,50.344,50.349,-0.094,0.998,0.089,1.002
Toxic,440,3.916,0.295,3.915,0.362,4.02,13.989,50.213,50.14,50.196,-0.074,0.999,0.017,1
Toxic,450,3.916,0.295,3.915,0.362,4.02,13.989,50.213,50.14,50.196,-0.074,0.999,0.017,1
Toxic,460,3.912,0.291,3.911,0.357,4.012,14.289,50.017,49.953,49.938,-0.064,0.999,0.079,1.002
Toxic,470,3.912,0.291,3.911,0.357,4.012,14.289,50.017,49.953,49.938,-0.064,0.999,0.079,1.002
Toxic,480,3.912,0.291,3.911,0.357,4.012,14.289,50.017,49.953,49.938,-0.064,0.999,0.079,1.002
Toxic,490,3.908,0.282,3.907,0.347,4.007,14.671,49.801,49.753,49.804,-0.048,0.999,-0.003,1
Toxic,500,3.908,0.282,3.907,0.347,4.007,14.671,49.801,49.753,49.804,-0.048,0.999,-0.003,1
Toxic,510,3.908,0.282,3.907,0.347,4.007,14.671,49.801,49.753,49.804,-0.048,0.999,-0.003,1
Toxic,520,3.908,0.282,3.907,0.347,4.007,14.671,49.801,49.753,49.804,-0.048,0.999,-0.003,1
Toxic,530,3.904,0.278,3.903,0.343,3.999,15.03,49.612,49.571,49.553,-0.041,0.999,0.058,1.001
Toxic,540,3.904,0.278,3.903,0.343,3.999,15.03,49.612,49.571,49.553,-0.041,0.999,0.058,1.001
Toxic,550,3.904,0.278,3.903,0.343,3.999,15.03,49.612,49.571,49.553,-0.041,0.999,0.058,1.001
Toxic,560,3.904,0.278,3.903,0.343,3.999,15.03,49.612,49.571,49.553,-0.041,0.999,0.058,1.001
Toxic,570,3.904,0.278,3.903,0.343,3.999,15.03,49.612,49.571,49.553,-0.041,0.999,0.058,1.001
Toxic,580,3.904,0.278,3.903,0.343,3.999,15.03,49.612,49.571,49.553,-0.041,0.999,0.058,1.001
Toxic,590,3.904,0.278,3.903,0.343,3.999,15.03,49.612,49.571,49.553,-0.041,0.999,0.058,1.001
Toxic,600,3.901,0.278,3.9,0.343,3.994,15.031,49.428,49.392,49.28,-0.036,0.999,0.147,1.003
Lethal,180,5.672,0.344,5.717,0.475,5.748,23.501,290.718,304.128,286.993,13.41,1.046,3.725,1.013
Lethal,190,5.665,0.415,5.707,0.559,5.671,25.315,288.718,301.107,267.567,12.388,1.043,21.151,1.079
Lethal,200,5.57,0.383,5.587,0.494,5.598,27.016,262.477,266.896,250.23,4.42,1.017,12.246,1.049
Lethal,210,5.492,0.402,5.504,0.51,5.563,22.557,242.823,245.602,238.317,2.779,1.011,4.507,1.019
Lethal,220,5.428,0.397,5.428,0.491,5.519,21.31,227.801,227.803,226.89,0.002,1,0.911,1.004
Lethal,230,5.348,0.43,5.339,0.517,5.473,17.491,210.111,208.223,212.572,-1.888,0.991,-2.461,0.988
Lethal,240,5.277,0.428,5.273,0.518,5.423,15.247,195.759,195.065,199.194,-0.695,0.996,-3.435,0.983
Lethal,250,5.207,0.449,5.203,0.542,5.368,13.38,182.598,181.9,185.392,-0.698,0.996,-2.794,0.985
Lethal,260,5.155,0.442,5.151,0.532,5.311,13.348,173.377,172.683,175.467,-0.694,0.996,-2.09,0.988
Lethal,270,5.123,0.459,5.119,0.548,5.288,12.458,167.828,167.221,169.802,-0.607,0.996,-1.973,0.988
Lethal,280,5.083,0.428,5.082,0.514,5.237,13.105,161.261,161.039,162.87,-0.222,0.999,-1.609,0.99
Lethal,290,5.027,0.446,5.029,0.535,5.186,12.386,152.425,152.836,153.731,0.411,1.003,-1.306,0.992
Lethal,300,5.01,0.443,5.013,0.533,5.171,12.242,149.882,150.309,151.205,0.427,1.003,-1.323,0.991
Lethal,310,4.993,0.447,4.996,0.538,5.154,12.022,147.347,147.756,148.285,0.409,1.003,-0.938,0.994
Lethal,320,4.96,0.471,4.964,0.564,5.129,11.407,142.639,143.109,143.506,0.47,1.003,-0.868,0.994
Lethal,330,4.926,0.52,4.931,0.617,5.114,10.228,137.852,138.583,138.926,0.731,1.005,-1.074,0.992
Lethal,340,4.919,0.527,4.924,0.624,5.108,10.036,136.803,137.585,137.676,0.782,1.006,-0.873,0.994
Lethal,350,4.911,0.534,4.917,0.631,5.102,9.851,135.739,136.578,136.411,0.839,1.006,-0.672,0.995
Lethal,360,4.899,0.531,4.905,0.627,5.086,9.913,134.131,135.003,134.467,0.872,1.006,-0.336,0.998
Lethal,370,4.88,0.525,4.888,0.621,5.065,10.09,131.692,132.63,132.228,0.938,1.007,-0.536,0.996
Lethal,380,4.855,0.546,4.864,0.641,5.046,9.648,128.373,129.545,128.699,1.172,1.009,-0.327,0.997
Lethal,390,4.822,0.565,4.826,0.671,5.016,9.308,124.152,124.706,124.267,0.553,1.004,-0.114,0.999
Lethal,400,4.792,0.587,4.793,0.704,4.996,8.91,120.536,120.707,120.848,0.172,1.001,-0.313,0.997
Lethal,410,4.78,0.577,4.781,0.697,4.984,8.881,119.139,119.211,119.398,0.072,1.001,-0.258,0.998
Lethal,420,4.78,0.577,4.781,0.697,4.984,8.881,119.139,119.211,119.398,0.072,1.001,-0.258,0.998
Lethal,430,4.76,0.592,4.757,0.72,4.968,8.633,116.692,116.426,116.914,-0.266,0.998,-0.222,0.998
Lethal,440,4.76,0.592,4.757,0.72,4.968,8.633,116.692,116.426,116.914,-0.266,0.998,-0.222,0.998
Lethal,450,4.728,0.63,4.719,0.776,4.95,7.973,113.023,112.093,113.04,-0.931,0.992,-0.017,1
Lethal,460,4.728,0.63,4.719,0.776,4.95,7.973,113.023,112.093,113.04,-0.931,0.992,-0.017,1
Lethal,470,4.716,0.639,4.705,0.79,4.94,7.838,111.703,110.539,111.58,-1.164,0.99,0.123,1.001
Lethal,480,4.709,0.636,4.698,0.788,4.932,7.924,110.984,109.737,110.957,-1.247,0.989,0.027,1
Lethal,490,4.709,0.636,4.698,0.788,4.932,7.924,110.984,109.737,110.957,-1.247,0.989,0.027,1
Lethal,500,4.709,0.636,4.698,0.788,4.932,7.924,110.984,109.737,110.957,-1.247,0.989,0.027,1
Lethal,510,4.709,0.636,4.698,0.788,4.932,7.924,110.984,109.737,110.957,-1.247,0.989,0.027,1
Lethal,520,4.709,0.636,4.698,0.788,4.932,7.924,110.984,109.737,110.957,-1.247,0.989,0.027,1
Lethal,530,4.709,0.636,4.698,0.788,4.932,7.924,110.984,109.737,110.957,-1.247,0.989,0.027,1
Lethal,540,4.709,0.619,4.698,0.768,4.926,8.186,110.937,109.761,111.114,-1.177,0.989,-0.177,0.998
Lethal,550,4.709,0.619,4.698,0.768,4.926,8.186,110.937,109.761,111.114,-1.177,0.989,-0.177,0.998
Lethal,560,4.709,0.619,4.698,0.768,4.926,8.186,110.937,109.761,111.114,-1.177,0.989,-0.177,0.998
Lethal,570,4.709,0.619,4.698,0.768,4.926,8.186,110.937,109.761,111.114,-1.177,0.989,-0.177,0.998
Lethal,580,4.709,0.619,4.698,0.768,4.926,8.186,110.937,109.761,111.114,-1.177,0.989,-0.177,0.998
Lethal,590,4.709,0.619,4.698,0.768,4.926,8.186,110.937,109.761,111.114,-1.177,0.989,-0.177,0.998
Lethal,600,4.709,0.619,4.698,0.768,4.926,8.186,110.937,109.761,111.114,-1.177,0.989,-0.177,0.998
