reaction,N,ID,Dose,logDose,min_dose,response
TD50,1,1,34.7,3.5467396869528134,3.7280936323121536,0
TD50,1,2,34.7,3.5467396869528134,4.0195887555355085,0
TD50,1,3,34.7,3.5467396869528134,4.046340246641444,0
TD50,1,4,34.7,3.5467396869528134,4.061447858379873,0
TD50,1,5,34.7,3.5467396869528134,3.9587944802779873,0
TD50,1,6,34.7,3.5467396869528134,4.289742463844509,0
TD50,1,7,34.7,3.5467396869528134,4.272302701608004,0
TD50,1,8,34.7,3.5467396869528134,3.748694474038236,0
TD50,1,9,34.7,3.5467396869528134,4.039550405350561,0
TD50,1,10,34.7,3.5467396869528134,4.614528917720091,0
TD50,1,11,34.7,3.5467396869528134,3.616571509122998,0
TD50,1,12,34.7,3.5467396869528134,3.7370826775449415,0
TD50,1,13,34.7,3.5467396869528134,3.83840872454206,0
TD50,1,14,34.7,3.5467396869528134,4.273834775259311,0
TD50,1,15,34.7,3.5467396869528134,4.090101964502407,0
TD50,1,1,41.7,3.730501128804756,3.7769898028063453,0
TD50,1,2,41.7,3.730501128804756,3.781423653834273,0
TD50,1,3,41.7,3.730501128804756,4.561978754546436,0
TD50,1,4,41.7,3.730501128804756,4.025554847478993,0
TD50,1,5,41.7,3.730501128804756,4.038606697709589,0
TD50,1,6,41.7,3.730501128804756,3.940149776467263,0
TD50,1,7,41.7,3.730501128804756,3.629700226155361,1
TD50,1,8,41.7,3.730501128804756,3.7079177457316095,1
TD50,1,9,41.7,3.730501128804756,4.001338496299768,0
TD50,1,10,41.7,3.730501128804756,4.157784614301927,0
TD50,1,11,41.7,3.730501128804756,4.005280417511861,0
TD50,1,12,41.7,3.730501128804756,4.396205383446705,0
TD50,1,13,41.7,3.730501128804756,4.740494214255714,0
TD50,1,14,41.7,3.730501128804756,3.7752836295233076,0
TD50,1,15,41.7,3.730501128804756,4.531519265200372,0
TD50,1,1,50,3.912023005428146,3.7013298885548362,1
TD50,1,2,50,3.912023005428146,4.138279881845786,0
TD50,1,3,50,3.912023005428146,4.170868554434981,0
TD50,1,4,50,3.912023005428146,4.054708081744282,0
TD50,1,5,50,3.912023005428146,4.105563941612339,0
TD50,1,6,50,3.912023005428146,3.9068501493942875,1
TD50,1,7,50,3.912023005428146,4.13883873145065,0
TD50,1,8,50,3.912023005428146,3.692273282116265,1
TD50,1,9,50,3.912023005428146,3.699076812161123,1
TD50,1,10,50,3.912023005428146,3.9828052723576755,0
TD50,1,11,50,3.912023005428146,3.5419057542660672,1
TD50,1,12,50,3.912023005428146,4.8105745031748395,0
TD50,1,13,50,3.912023005428146,4.23077179600192,0
TD50,1,14,50,3.912023005428146,4.298209467464576,0
TD50,1,15,50,3.912023005428146,4.35595587690231,0
TD50,1,1,60,4.0943445622221,4.6832995084015145,0
TD50,1,2,60,4.0943445622221,3.8805292940991594,1
TD50,1,3,60,4.0943445622221,3.889319326483736,1
TD50,1,4,60,4.0943445622221,4.101065619094888,0
TD50,1,5,60,4.0943445622221,4.15347848224559,0
TD50,1,6,60,4.0943445622221,3.8508067453187222,1
TD50,1,7,60,4.0943445622221,3.7170902227338165,1
TD50,1,8,60,4.0943445622221,4.240765817843457,0
TD50,1,9,60,4.0943445622221,4.130994709247402,0
TD50,1,10,60,4.0943445622221,3.636929685450374,1
TD50,1,11,60,4.0943445622221,3.966189676638188,1
TD50,1,12,60,4.0943445622221,4.14256354857267,0
TD50,1,13,60,4.0943445622221,4.07036976301798,1
TD50,1,14,60,4.0943445622221,3.8030516685134717,1
TD50,1,15,60,4.0943445622221,4.3590718729937565,0
TD50,1,1,72,4.276666119016055,3.9466587559925914,1
TD50,1,2,72,4.276666119016055,3.587721423547722,1
TD50,1,3,72,4.276666119016055,3.8771984627208225,1
TD50,1,4,72,4.276666119016055,3.6590322389902905,1
TD50,1,5,72,4.276666119016055,4.107042719071203,1
TD50,1,6,72,4.276666119016055,3.7127918297116262,1
TD50,1,7,72,4.276666119016055,4.237248705719506,1
