reaction,Time,n,log_mean,log_sd,geomean,Min,Q1,Median,Q3,Max
TD50,4,100,4.079,0.058,59.08,49.849,57.052,59.094,61.012,68.383
TD50,5,100,3.969,0.051,52.95,47.322,51.089,52.96,54.685,63.312
TD50,6,100,3.931,0.048,50.952,45.801,49.656,50.928,52.592,57.449
TD50,7,100,3.919,0.051,50.332,44.469,48.874,50.256,51.781,59.382
TD50,8,100,3.916,0.048,50.197,44.242,48.514,50.344,51.947,55.49
LD50,4,100,5.299,0.092,200.171,164.378,188.271,198.4,212.147,261.766
LD50,5,100,5.016,0.071,150.772,129.002,144.075,150.076,158.037,180.526
LD50,6,100,4.886,0.091,132.408,89.516,125.549,133.09,140.065,161.773
LD50,7,100,4.774,0.128,118.439,58.921,111.244,121.244,128.822,142.365
LD50,8,100,4.657,0.217,105.287,43.945,99.117,111.869,120.102,153.021
