Exp,Date,Dose,Time,status
1,2024/4/19,102.4,290,1
1,2024/4/19,102.4,600,0
1,2024/4/19,102.4,600,0
1,2024/4/19,102.4,260,1
1,2024/4/19,102.4,600,0
1,2024/4/19,102.4,600,0
1,2024/4/19,102.4,600,0
1,2024/4/19,102.4,390,1
1,2024/4/19,102.4,600,0
1,2024/4/19,102.4,190,1
1,2024/4/19,102.4,600,0
1,2024/4/19,102.4,600,0
1,2024/4/19,128.0,600,0
1,2024/4/19,128.0,200,1
1,2024/4/19,128.0,600,0
1,2024/4/19,128.0,290,1
1,2024/4/19,128.0,600,0
1,2024/4/19,128.0,600,0
1,2024/4/19,128.0,280,1
1,2024/4/19,128.0,600,0
1,2024/4/19,128.0,470,1
1,2024/4/19,128.0,600,0
1,2024/4/19,128.0,600,0
1,2024/4/19,128.0,390,1
1,2024/4/20,160.0,600,0
1,2024/4/20,160.0,600,0
1,2024/4/20,160.0,220,1
1,2024/4/20,160.0,240,1
1,2024/4/20,160.0,250,1
1,2024/4/20,160.0,600,0
1,2024/4/20,160.0,170,1
1,2024/4/20,160.0,600,0
1,2024/4/20,160.0,390,1
1,2024/4/20,160.0,180,1
1,2024/4/20,160.0,250,1
1,2024/4/20,160.0,250,1
1,2024/4/20,200.0,240,1
1,2024/4/20,200.0,230,1
1,2024/4/20,200.0,230,1
1,2024/4/20,200.0,210,1
1,2024/4/20,200.0,370,1
1,2024/4/20,200.0,290,1
1,2024/4/20,200.0,310,1
1,2024/4/20,200.0,180,1
1,2024/4/20,200.0,600,0
1,2024/4/20,200.0,240,1
1,2024/4/20,200.0,260,1
1,2024/4/20,200.0,280,1
1,2024/4/20,250.0,200,1
1,2024/4/20,250.0,220,1
1,2024/4/20,250.0,600,0
1,2024/4/20,250.0,170,1
1,2024/4/20,250.0,170,1
1,2024/4/20,250.0,200,1
1,2024/4/20,250.0,210,1
1,2024/4/20,250.0,150,1
1,2024/4/20,250.0,220,1
1,2024/4/20,250.0,600,0
1,2024/4/20,250.0,190,1
1,2024/4/20,250.0,280,1
2,2024/4/23,102.4,400,1
2,2024/4/23,102.4,450,1
2,2024/4/23,102.4,410,1
2,2024/4/23,102.4,600,0
2,2024/4/23,102.4,600,0
2,2024/4/23,128.0,600,0
2,2024/4/23,128.0,600,0
2,2024/4/23,128.0,600,0
2,2024/4/23,128.0,600,0
2,2024/4/23,128.0,300,1
2,2024/4/23,160.0,280,1
2,2024/4/23,160.0,320,1
2,2024/4/23,160.0,600,0
2,2024/4/23,160.0,600,0
