Exp,Date,Dose,Time,status
1,2024/4/17,34.7,600,0
1,2024/4/17,34.7,600,0
1,2024/4/17,34.7,600,0
1,2024/4/17,34.7,215,1
1,2024/4/17,34.7,410,1
1,2024/4/17,34.7,600,0
1,2024/4/17,34.7,600,0
1,2024/4/17,34.7,600,0
1,2024/4/17,34.7,600,0
1,2024/4/17,34.7,600,0
1,2024/4/17,34.7,600,0
1,2024/4/17,34.7,600,0
1,2024/4/18,41.7,317,1
1,2024/4/18,41.7,600,0
1,2024/4/18,41.7,600,0
1,2024/4/18,41.7,157,1
1,2024/4/18,41.7,270,1
1,2024/4/18,41.7,600,0
1,2024/4/18,41.7,600,0
1,2024/4/18,41.7,323,1
1,2024/4/18,41.7,363,1
1,2024/4/18,41.7,183,1
1,2024/4/18,41.7,600,0
1,2024/4/18,41.7,600,0
1,2024/4/18,50.0,600,0
1,2024/4/18,50.0,600,0
1,2024/4/18,50.0,233,1
1,2024/4/18,50.0,600,0
1,2024/4/18,50.0,202,1
1,2024/4/18,50.0,160,1
1,2024/4/18,50.0,600,0
1,2024/4/18,50.0,207,1
1,2024/4/18,50.0,250,1
1,2024/4/18,50.0,197,1
1,2024/4/18,50.0,186,1
1,2024/4/18,50.0,290,1
1,2024/4/18,60.0,231,1
1,2024/4/18,60.0,179,1
1,2024/4/18,60.0,202,1
1,2024/4/18,60.0,288,1
1,2024/4/18,60.0,221,1
1,2024/4/18,60.0,210,1
1,2024/4/18,60.0,200,1
1,2024/4/18,60.0,600,0
1,2024/4/18,60.0,222,1
1,2024/4/18,60.0,363,1
1,2024/4/18,60.0,256,1
1,2024/4/18,60.0,600,0
2,2024/4/22,34.7,600,0
2,2024/4/22,34.7,600,0
2,2024/4/22,34.7,600,0
2,2024/4/22,34.7,600,0
2,2024/4/22,34.7,600,0
2,2024/4/22,41.7,600,0
2,2024/4/22,41.7,600,0
2,2024/4/22,41.7,600,0
2,2024/4/22,41.7,600,0
2,2024/4/22,41.7,241,1
2,2024/4/22,50.0,235,1
2,2024/4/22,50.0,276,1
2,2024/4/22,50.0,223,1
2,2024/4/22,50.0,326,1
2,2024/4/22,50.0,600,0
2,2024/4/22,60.0,197,1
2,2024/4/22,60.0,600,0
2,2024/4/22,60.0,173,1
2,2024/4/22,60.0,600,0
2,2024/4/22,60.0,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/23,34.7,600,0
3,2024/4/24,41.7,600,0
3,2024/4/24,41.7,297,1
3,2024/4/24,41.7,600,0
3,2024/4/24,41.7,600,0
3,2024/4/24,41.7,220,1
3,2024/4/24,41.7,217,1
3,2024/4/24,41.7,600,0
3,2024/4/24,41.7,274,1
3,2024/4/24,41.7,600,0
3,2024/4/24,41.7,279,1
3,2024/4/24,41.7,600,0
3,2024/4/24,41.7,600,0
3,2024/4/24,50.0,272,1
3,2024/4/24,50.0,600,0
3,2024/4/24,50.0,191,1
3,2024/4/24,50.0,178,1
3,2024/4/24,50.0,600,0
3,2024/4/24,50.0,160,1
3,2024/4/24,50.0,600,0
3,2024/4/24,50.0,600,0
3,2024/4/24,50.0,208,1
3,2024/4/24,50.0,308,1
3,2024/4/24,50.0,270,1
3,2024/4/24,50.0,207,1
3,2024/4/24,60.0,600,0
3,2024/4/24,60.0,460,1
3,2024/4/24,60.0,203,1
3,2024/4/24,60.0,600,0
